iter	Passed	Remaining
0	162	162735
1	163	81564
2	164	54532
3	164	41012
4	165	32902
5	165	27490
6	166	23649
7	167	20750
8	167	18493
9	168	16686
10	169	15213
11	169	13993
12	170	12948
13	171	12052
14	171	11273
15	172	10592
16	172	9991
17	173	9463
18	174	8987
19	174	8556
20	175	8170
21	175	7817
22	176	7491
23	176	7192
24	177	6920
25	178	6668
26	178	6435
27	179	6221
28	179	6025
29	180	5839
30	181	5666
31	181	5505
32	182	5354
33	183	5208
34	183	5070
35	184	4937
36	184	4813
37	185	4694
38	186	4583
39	186	4476
40	187	4375
41	187	4280
42	188	4190
43	188	4101
44	189	4017
45	189	3936
46	190	3858
47	190	3784
48	191	3712
49	191	3646
50	192	3581
51	192	3517
52	193	3456
53	193	3397
54	194	3340
55	195	3287
56	195	3235
57	196	3186
58	196	3140
59	197	3093
60	198	3049
61	198	3005
62	199	2964
63	199	2923
64	200	2884
65	201	2845
66	201	2807
67	202	2770
68	202	2734
69	203	2699
70	203	2665
71	204	2632
72	204	2601
73	205	2570
74	205	2540
75	206	2510
76	206	2481
77	207	2452
78	208	2425
79	208	2398
80	209	2372
81	209	2348
82	210	2321
83	210	2298
84	211	2274
85	211	2251
86	212	2229
87	213	2207
88	213	2186
89	214	2164
90	214	2144
91	215	2123
92	215	2104
93	216	2085
94	216	2066
95	217	2047
96	217	2029
97	218	2011
98	219	1993
99	219	1977
100	220	1960
101	220	1944
102	221	1928
103	221	1912
104	222	1896
105	223	1881
106	223	1866
107	224	1851
108	224	1837
109	225	1824
110	226	1812
111	226	1798
112	227	1785
113	228	1772
114	228	1758
115	229	1746
116	229	1732
117	230	1720
118	230	1708
119	231	1696
120	231	1684
121	232	1672
122	232	1660
123	233	1649
124	234	1638
125	234	1628
126	235	1616
127	235	1605
128	236	1595
129	236	1585
130	237	1575
131	238	1565
132	238	1555
133	239	1545
134	239	1536
135	240	1527
136	241	1518
137	241	1509
138	242	1501
139	243	1493
140	243	1484
141	244	1474
142	244	1466
143	245	1457
144	245	1449
145	246	1440
146	246	1432
147	247	1424
148	248	1416
149	248	1408
150	249	1401
151	249	1394
152	250	1386
153	251	1379
154	251	1372
155	252	1364
156	252	1358
157	253	1350
158	254	1344
159	254	1337
160	255	1329
161	255	1323
162	256	1317
163	257	1311
164	257	1304
165	258	1298
166	259	1291
167	259	1285
168	260	1279
169	260	1273
170	261	1267
171	262	1261
172	262	1255
173	263	1249
174	263	1243
175	264	1237
176	264	1231
177	265	1225
178	266	1220
179	266	1214
180	267	1208
181	267	1203
182	268	1197
183	268	1192
184	269	1187
185	270	1181
186	270	1177
187	271	1172
188	272	1169
189	273	1165
190	274	1160
191	274	1156
192	275	1151
193	275	1146
194	276	1141
195	277	1137
